"","iso_ter","country","total_area","protected_area","percent_protected","pc_gdp_2016","ecosystem"
"62","NAM","Namibia","1.99549315598508","0",0,4454.9,"coldwater_coral"
"63","NGA","Nigeria","9.19148440299485","0",0,2177.988,"coldwater_coral"
"64","NIC","Nicaragua","5.49799999620016","0.422557530579863",7.68565898275566,2091.463,"coldwater_coral"
"65","NOR","Norway","3017.02068872933","235.201815498197",7.79583038249752,70629.25,"coldwater_coral"
"66","NZL","New Zealand","831.97415211146","236.767279431982",28.4584898258068,39453.17,"coldwater_coral"
"67","OMN","Oman","4.98873283503172","0",0,17020.387,"coldwater_coral"
"68","PAN","Panama","32.9256369568588","0.121064862520771",0.367691785824518,14866.506,"coldwater_coral"
"69","PER","Peru","8.97971908075518","0.997746571348176",11.1111111870581,6453.923,"coldwater_coral"
"70","PHL","Philippines","174.352255369976","7.14392339323619",4.09740807658425,3107.646,"coldwater_coral"
"71","PLW","Palau","3.24242093570336","3.24242093570336",100,17182.471,"coldwater_coral"
"72","PNG","Papua New Guinea","1.99549314958219","0",0,2245.439,"coldwater_coral"
"73","PRI","Puerto Rico","33.814589651525","6.47154170631325",19.1383121102621,30585.55,"coldwater_coral"
"74","PRT","Portugal","369.793066177503","105.47058183024",28.5215141864271,19914.852,"coldwater_coral"
"75","RUS","Russian Federation","17.9482763207811","0",0,8689.358,"coldwater_coral"
"76","SAU","Saudi Arabia","6.9842260911645","0",0,21515.651,"coldwater_coral"
"77","SEN","Senegal","4.19373899705194","0",0,1269.553,"coldwater_coral"
"78","SOM","Somalia","8.97971912156534","0",0,558.643,"coldwater_coral"
"79","SUR","Suriname","34.4225685734462","0",0,5762.414,"coldwater_coral"
"80","SWE","Sweden","31.0529245436098","19.3690018890172",62.3741633797356,51446.757,"coldwater_coral"
"81","SYC","Seychelles","3.44559793005424","0",0,16721.449,"coldwater_coral"
"82","THA","Thailand","3.99098637555205","0",0,5993.308,"coldwater_coral"
"83","TLS","Timor-Leste","6.03496586934398","0",0,1335.544,"coldwater_coral"
"84","TON","Tonga","1.99549321591097","0",0,4181.064,"coldwater_coral"
"85","TTO","Trinidad and Tobago","14.0099836042785","0",0,17149.368,"coldwater_coral"
"86","TUN","Tunisia","11.2526376432774","0",0,3890.127,"coldwater_coral"
"87","TUV","Tuvalu","0.997746564827538","0",0,3871.034,"coldwater_coral"
"88","URY","Uruguay","22.2218651326868","0",0,16695.477,"coldwater_coral"
"89","USA","United States","2137.24104806516","399.877658974278",18.709993397155,58179.697,"coldwater_coral"
"90","VCT","Saint Vincent and the Grenadines","10.272776718187","0",0,7389.41,"coldwater_coral"
"91","VUT","Vanuatu","18.1009321578198","0",0,2929.483,"coldwater_coral"
"92","WSM","Samoa","1.99549315802455","0",0,4325.408,"coldwater_coral"
"93","YEM","Yemen","0.997746569395683","0",0,975.359,"coldwater_coral"
"94","ZAF","South Africa","44.6205635802445","24.2220065340606",54.2844029535852,5721.189,"coldwater_coral"
"95","ABW","Aruba","0.337893769827033","0.00685633593436759",2.02913949490023,27619.362,"mangroves"
"96","AGO","Angola","374.912657045239","1.68759753968406",0.450130852605604,3936.361,"mangroves"
"97","ARE","United Arab Emirates","72.6323292602828","11.2192121209939",15.446581756712,40436.026,"mangroves"
"98","ATG","Antigua and Barbuda","8.86302416134686","4.44475367357458",50.1494026492549,16163.761,"mangroves"
"99","AUS","Australia","9781.88028304306","4833.0646232978",49.4083395364789,51779.836,"mangroves"
"100","BEN","Benin","1.40189554889003","0",0,1049.531,"mangroves"
"101","BGD","Bangladesh","4087.12416951906","3752.02959575037",91.8012137662036,1679.021,"mangroves"
"102","BHR","Bahrain","0.808425681791958","0",0,23800.001,"mangroves"
"103","BLZ","Belize","482.212511262747","157.684986012805",32.7003099940071,6152.457,"mangroves"
